source,target,value
Education1,Education2,372
Education1,"Commun, Fam., & Personal Svcs2",29
Education1,Arts: Visual & Performing2,3
Education1,"Repair, Production, & Construction2",0
Education1,Business2,12
Education1,"Area, Eth. & Multidiscip. Studies2",0
Education1,Health Sci. & Techno.2,6
Education1,Agric. & Nat. Res. Cons2,0
Education1,Comp. Sci. & Mathematics2,1
Education1,Engineering2,0
Education1,Communications2,5
Education1,Sciences: Biological & Physical2,1
Education1,Health Admin. & Assisting2,3
Education1,Eng. Tech. & Drafting2,0
Education1,"Philosophy, Religion, & Theology2",0
Education1,Architecture2,0
"Philosophy, Religion, & Theology0",Engineering1,0
"Philosophy, Religion, & Theology0",English & Foreign Lang.1,0
"Philosophy, Religion, & Theology0",Health Admin. & Assisting1,0
"Philosophy, Religion, & Theology0",Social Sciences & Law1,0
"Philosophy, Religion, & Theology0",Arts: Visual & Performing1,0
"Philosophy, Religion, & Theology0",Business1,0
"Philosophy, Religion, & Theology0","Repair, Production, & Construction1",0
"Philosophy, Religion, & Theology0","Area, Eth. & Multidiscip. Studies1",0
"Philosophy, Religion, & Theology0",Health Sci. & Techno.1,0
"Philosophy, Religion, & Theology0",Agric. & Nat. Res. Cons1,0
"Philosophy, Religion, & Theology0",Comp. Sci. & Mathematics1,0
"Philosophy, Religion, & Theology0",Communications1,0
"Philosophy, Religion, & Theology0",Sciences: Biological & Physical1,0
"Philosophy, Religion, & Theology0",Eng. Tech. & Drafting1,0
"Philosophy, Religion, & Theology0",Education1,0
"Philosophy, Religion, & Theology0","Philosophy, Religion, & Theology1",0
"Philosophy, Religion, & Theology0",Architecture1,0
"Philosophy, Religion, & Theology0","Commun, Fam., & Personal Svcs1",0
Social Sciences & Law1,English & Foreign Lang.2,0
Social Sciences & Law1,Social Sciences & Law2,146
Social Sciences & Law1,Education2,4
Social Sciences & Law1,"Commun, Fam., & Personal Svcs2",14
Social Sciences & Law1,Arts: Visual & Performing2,2
Social Sciences & Law1,"Repair, Production, & Construction2",1
Social Sciences & Law1,Business2,6
Social Sciences & Law1,"Area, Eth. & Multidiscip. Studies2",0
Social Sciences & Law1,Health Sci. & Techno.2,3
Social Sciences & Law1,Agric. & Nat. Res. Cons2,0
Social Sciences & Law1,Comp. Sci. & Mathematics2,1
Social Sciences & Law1,Engineering2,0
Social Sciences & Law1,Communications2,4
Social Sciences & Law1,Sciences: Biological & Physical2,1
Social Sciences & Law1,Health Admin. & Assisting2,1
Social Sciences & Law1,Eng. Tech. & Drafting2,0
Social Sciences & Law1,"Philosophy, Religion, & Theology2",0
Social Sciences & Law1,Architecture2,0
Eng. Tech. & Drafting1,English & Foreign Lang.2,0
Eng. Tech. & Drafting1,Social Sciences & Law2,0
Eng. Tech. & Drafting1,Education2,0
Eng. Tech. & Drafting1,"Commun, Fam., & Personal Svcs2",0
Eng. Tech. & Drafting1,Arts: Visual & Performing2,2
Eng. Tech. & Drafting1,"Repair, Production, & Construction2",0
Eng. Tech. & Drafting1,Business2,1
Eng. Tech. & Drafting1,"Area, Eth. & Multidiscip. Studies2",0
Eng. Tech. & Drafting1,Health Sci. & Techno.2,0
Eng. Tech. & Drafting1,Agric. & Nat. Res. Cons2,0
Eng. Tech. & Drafting1,Comp. Sci. & Mathematics2,1
Eng. Tech. & Drafting1,Engineering2,1
Eng. Tech. & Drafting1,Communications2,2
Eng. Tech. & Drafting1,Sciences: Biological & Physical2,0
Eng. Tech. & Drafting1,Health Admin. & Assisting2,0
Eng. Tech. & Drafting1,Eng. Tech. & Drafting2,33
Eng. Tech. & Drafting1,"Philosophy, Religion, & Theology2",0
Eng. Tech. & Drafting1,Architecture2,0
Architecture0,Engineering1,1
Architecture0,English & Foreign Lang.1,0
Architecture0,Health Admin. & Assisting1,1
Architecture0,Social Sciences & Law1,2
Architecture0,Arts: Visual & Performing1,3
Architecture0,Business1,2
Architecture0,"Repair, Production, & Construction1",0
Architecture0,"Area, Eth. & Multidiscip. Studies1",0
Architecture0,Health Sci. & Techno.1,3
Architecture0,Agric. & Nat. Res. Cons1,0
Architecture0,Comp. Sci. & Mathematics1,1
Architecture0,Communications1,0
Architecture0,Sciences: Biological & Physical1,1
Architecture0,Eng. Tech. & Drafting1,3
Architecture0,Education1,2
Architecture0,"Philosophy, Religion, & Theology1",0
Architecture0,Architecture1,7
Architecture0,"Commun, Fam., & Personal Svcs1",0
Architecture1,English & Foreign Lang.2,0
Architecture1,Social Sciences & Law2,0
Architecture1,Education2,0
Architecture1,"Commun, Fam., & Personal Svcs2",0
Architecture1,Arts: Visual & Performing2,0
Architecture1,"Repair, Production, & Construction2",0
Architecture1,Business2,4
Architecture1,"Area, Eth. & Multidiscip. Studies2",0
Architecture1,Health Sci. & Techno.2,0
Architecture1,Agric. & Nat. Res. Cons2,0
Architecture1,Comp. Sci. & Mathematics2,0
Architecture1,Engineering2,0
Architecture1,Communications2,0
Architecture1,Sciences: Biological & Physical2,0
Architecture1,Health Admin. & Assisting2,0
Architecture1,Eng. Tech. & Drafting2,0
Architecture1,"Philosophy, Religion, & Theology2",0
Architecture1,Architecture2,6
"Philosophy, Religion, & Theology1",English & Foreign Lang.2,0
"Philosophy, Religion, & Theology1",Social Sciences & Law2,1
"Philosophy, Religion, & Theology1",Education2,0
"Philosophy, Religion, & Theology1","Commun, Fam., & Personal Svcs2",0
"Philosophy, Religion, & Theology1",Arts: Visual & Performing2,0
"Philosophy, Religion, & Theology1","Repair, Production, & Construction2",0
"Philosophy, Religion, & Theology1",Business2,0
"Philosophy, Religion, & Theology1","Area, Eth. & Multidiscip. Studies2",0
"Philosophy, Religion, & Theology1",Health Sci. & Techno.2,0
"Philosophy, Religion, & Theology1",Agric. & Nat. Res. Cons2,0
"Philosophy, Religion, & Theology1",Comp. Sci. & Mathematics2,0
"Philosophy, Religion, & Theology1",Engineering2,0
"Philosophy, Religion, & Theology1",Communications2,0
"Philosophy, Religion, & Theology1",Sciences: Biological & Physical2,0
"Philosophy, Religion, & Theology1",Health Admin. & Assisting2,0
"Philosophy, Religion, & Theology1",Eng. Tech. & Drafting2,0
"Philosophy, Religion, & Theology1","Philosophy, Religion, & Theology2",3
"Philosophy, Religion, & Theology1",Architecture2,0
